COMMENT,ORIGINATOR,NORAD_CAT_ID,OBJECT_NAME,OBJECT_TYPE,CLASSIFICATION_TYPE,INTLDES,EPOCH,EPOCH_MICROSECONDS,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,FILE,TLE_LINE0,TLE_LINE1,TLE_LINE2,OBJECT_ID,OBJECT_NUMBER,SEMIMAJOR_AXIS,PERIOD,APOGEE,PERIGEE,DECAYED
"GENERATED VIA SPACETRACK.ORG API","18 SPCS","55100","SPACEBEE-158","PAYLOAD","U","23001CV","2023-01-18 19:13:04","523520","15.14065043","0.0017699","97.5013","80.6894","157.7797","202.4205","0","999","245","0.0013622","0.00024868","0","3754021","0 SPACEBEE-158","1 55100U 23001CV  23018.80074680  .00024868  00000-0  13622-2 0  9998","2 55100  97.5013  80.6894 0017699 157.7797 202.4205 15.14065043  2453","2023-001CV","55100","6901.955","95.108","536.036","511.605","0"
"GENERATED VIA SPACETRACK.ORG API","18 SPCS","55100","SPACEBEE-158","PAYLOAD","U","23001CV","2023-01-18 20:48:14","658048","15.14066171","0.0017694","97.5013","80.7546","157.5564","202.6445","0","999","246","0.0012765","0.00023295","0","3754254","0 SPACEBEE-158","1 55100U 23001CV  23018.86683632  .00023295  00000-0  12765-2 0  9997","2 55100  97.5013  80.7546 0017694 157.5564 202.6445 15.14066171  2465","2023-001CV","55100","6901.952","95.108","536.029","511.605","0"
"GENERATED VIA SPACETRACK.ORG API","18 SPCS","55100","SPACEBEE-158","PAYLOAD","U","23001CV","2023-01-19 07:54:25","237728","15.14083727","0.0017681","97.5012","81.2101","156.1083","204.0973","0","999","253","0.0010546","0.00019233","0","3754973","0 SPACEBEE-158","1 55100U 23001CV  23019.32945877  .00019233  00000-0  10546-2 0  9993","2 55100  97.5012  81.2101 0017681 156.1083 204.0973 15.14083727  2530","2023-001CV","55100","6901.899","95.107","535.967","511.560","0"
"GENERATED VIA SPACETRACK.ORG API","18 SPCS","55100","SPACEBEE-158","PAYLOAD","U","23001CV","2023-01-19 23:46:05","125440","15.14115949","0.0017628","97.5012","81.8611","153.8647","206.3478","0","999","263","0.0013204","0.00024134","0","3755470","0 SPACEBEE-158","1 55100U 23001CV  23019.99033710  .00024134  00000-0  13204-2 0  9990","2 55100  97.5012  81.8611 0017628 153.8647 206.3478 15.14115949  2631","2023-001CV","55100","6901.801","95.105","535.832","511.499","0"
"GENERATED VIA SPACETRACK.ORG API","18 SPCS","55100","SPACEBEE-158","PAYLOAD","U","23001CV","2023-01-20 07:41:54","637728","15.14129566","0.001765","97.501","82.1866","152.8295","207.3864","0","999","268","0.0011688","0.00021356","0","3755973","0 SPACEBEE-158","1 55100U 23001CV  23020.32077127  .00021356  00000-0  11688-2 0  9996","2 55100  97.5010  82.1866 0017650 152.8295 207.3864 15.14129566  2683","2023-001CV","55100","6901.759","95.104","535.806","511.443","0"
"GENERATED VIA SPACETRACK.ORG API","18 SPCS","55100","SPACEBEE-158","PAYLOAD","U","23001CV","2023-01-21 04:19:02","112384","15.14170012","0.0017774","97.5006","83.0331","149.7868","210.4393","0","999","281","0.0012995","0.00023787","0","3756636","0 SPACEBEE-158","1 55100U 23001CV  23021.17988556  .00023787  00000-0  12995-2 0  9999","2 55100  97.5006  83.0331 0017774 149.7868 210.4393 15.14170012  2812","2023-001CV","55100","6901.636","95.102","535.768","511.235","0"
"GENERATED VIA SPACETRACK.ORG API","18 SPCS","55100","SPACEBEE-158","PAYLOAD","U","23001CV","2023-01-22 12:02:14","523936","15.14226737","0.0017876","97.5002","84.335","145.2742","214.966","0","999","301","0.0011044","0.0002023","0","3757816","0 SPACEBEE-158","1 55100U 23001CV  23022.50155699  .00020230  00000-0  11044-2 0  9995","2 55100  97.5002  84.3350 0017876 145.2742 214.9660 15.14226737  3013","2023-001CV","55100","6901.464","95.098","535.666","510.992","0"
"GENERATED VIA SPACETRACK.ORG API","18 SPCS","55100","SPACEBEE-158","PAYLOAD","U","23001CV","2023-01-23 18:10:13","926432","15.14265565","0.0018006","97.4997","85.5721","140.9343","219.3192","0","999","320","0.00084085","0.00015394","0","3759096","0 SPACEBEE-158","1 55100U 23001CV  23023.75710563  .00015394  00000-0  84085-3 0  9991","2 55100  97.4997  85.5721 0018006 140.9343 219.3192 15.14265565  3207","2023-001CV","55100","6901.346","95.096","535.638","510.785","0"
"GENERATED VIA SPACETRACK.ORG API","18 SPCS","55100","SPACEBEE-158","PAYLOAD","U","23001CV","2023-01-24 19:32:42","984096","15.14292567","0.0018052","97.4992","86.6135","137.4873","222.776","0","999","336","0.00070406","0.00012885","0","3760148","0 SPACEBEE-158","1 55100U 23001CV  23024.81438639  .00012885  00000-0  70406-3 0  9994","2 55100  97.4992  86.6135 0018052 137.4873 222.7760 15.14292567  3361","2023-001CV","55100","6901.264","95.094","535.587","510.671","0"
"GENERATED VIA SPACETRACK.ORG API","18 SPCS","55100","SPACEBEE-158","PAYLOAD","U","23001CV","2023-01-25 12:59:24","505440","15.14310676","0.0018059","97.4989","87.3297","135.1688","225.1006","0","999","347","0.0006776","0.00012404","0","3761297","0 SPACEBEE-158","1 55100U 23001CV  23025.54125585  .00012404  00000-0  67760-3 0  9994","2 55100  97.4989  87.3297 0018059 135.1688 225.1006 15.14310676  3474","2023-001CV","55100","6901.209","95.093","535.537","510.611","0"
